Altitude,Latitude,Longitude,B_r,B_phi,B_theta,B_magnitude
400.0,-54.9,120.1,53587.04,-2461.07,-5248.69,53899.69
400.0,-54.9,130.1,54065.91,-72.87,-5753.98,54371.29
400.0,-54.9,140.1,53803.87,2131.96,-6426.54,54228.24
400.0,-54.9,150.1,52920.75,4075.31,-7228.67,53567.41
400.0,-54.9,160.1,51546.27,5707.76,-8127.70,52494.34
400.0,-54.9,170.1,49810.16,7003.22,-9085.81,51114.08
400.0,-49.9,-179.9,45717.74,7784.06,-12754.52,48097.62
400.0,-49.9,-169.9,43442.62,8331.67,-13499.52,46248.40
400.0,-49.9,-159.9,41133.46,8651.05,-14166.47,44356.41
400.0,-49.9,-149.9,38816.81,8813.62,-14735.68,42444.85
400.0,-49.9,-139.9,36472.26,8880.12,-15198.65,40497.92
400.0,-49.9,-129.9,34035.81,8880.71,-15565.49,38465.41
400.0,-49.9,-119.9,31428.65,8778.07,-15868.31,36285.22
400.0,-49.9,-109.9,28625.29,8445.12,-16141.20,33930.30
400.0,-49.9,-99.9,25728.04,7700.62,-16378.20,31455.95
400.0,-49.9,-89.9,22989.48,6410.25,-16498.50,29013.93
400.0,-49.9,-79.9,20744.18,4606.11,-16361.65,26818.67
400.0,-49.9,-69.9,19262.92,2536.66,-15846.71,25072.15
400.0,-49.9,-59.9,18607.62,581.03,-14945.47,23873.59
400.0,-49.9,-49.9,18591.98,-938.67,-13790.81,23167.42
400.0,-49.9,-39.9,18890.19,-1915.18,-12592.49,22783.28
400.0,-49.9,-29.9,19215.90,-2469.30,-11538.92,22549.83
400.0,-49.9,-19.9,19439.02,-2840.68,-10745.58,22392.24
400.0,-49.9,-9.9,19594.19,-3279.33,-10259.55,22359.44
400.0,-49.9,0.1,19844.76,-3995.82,-10064.19,22606.83
400.0,-49.9,10.1,20446.89,-5117.34,-10065.72,23357.68
400.0,-49.9,20.1,21685.84,-6624.84,-10106.43,24825.48
400.0,-49.9,30.1,23774.48,-8327.37,-10023.48,27111.64
400.0,-49.9,40.1,26762.80,-9911.46,-9718.60,30148.56
400.0,-49.9,50.1,30505.18,-11045.80,-9201.85,33723.14
400.0,-49.9,60.1,34704.36,-11496.29,-8584.38,37553.29
400.0,-49.9,70.1,39010.56,-11183.62,-8017.72,41366.43
400.0,-49.9,80.1,43102.22,-10151.98,-7627.01,44933.68
400.0,-49.9,90.1,46701.92,-8515.83,-7485.43,48058.51
400.0,-49.9,100.1,49580.03,-6445.93,-7611.14,50573.30
400.0,-49.9,110.1,51591.53,-4150.58,-7964.06,52367.35
400.0,-49.9,120.1,52702.37,-1819.76,-8468.36,53409.40
400.0,-49.9,130.1,52967.76,412.30,-9059.92,53738.59
400.0,-49.9,140.1,52492.72,2458.06,-9710.29,53439.85
400.0,-49.9,150.1,51402.03,4257.02,-10414.80,52619.00
400.0,-49.9,160.1,49822.59,5762.82,-11171.60,51383.90
400.0,-49.9,170.1,47883.42,6940.52,-11964.01,49841.05
400.0,-44.9,-179.9,43165.27,7557.42,-15265.65,46404.68
400.0,-44.9,-169.9,40774.48,8009.34,-15817.16,44462.24
400.0,-44.9,-159.9,38376.64,8237.97,-16292.92,42498.12
400.0,-44.9,-149.9,36004.46,8312.40,-16676.11,40540.22
400.0,-44.9,-139.9,33648.30,8293.13,-16948.63,38577.71
400.0,-44.9,-129.9,31248.24,8222.75,-17101.24,36558.43
400.0,-44.9,-119.9,28708.88,8084.20,-17151.12,34405.16
400.0,-44.9,-109.9,25969.89,7758.58,-17138.31,32067.94
